Date,Price,Open,High,Low,Vol.,Change %
07-11-1994,383.3,383.8,384.2,383.1,25.39K,-0.36%
08-11-1994,384.7,384.8,385.3,383.5,14.40K,0.08%
03-11-1994,384.4,385,385.4,384.2,17.75K,-0.29%
02-11-1994,385.5,384.7,385.7,384.2,9.68K,-0.05%
01-11-1994,385.7,384.7,386.5,384.3,19.06K,0.21%
31-10-1994,384.9,388.3,388.7,383.7,23.76K,-0.98%
28-10-1994,388.7,389.5,390.6,388,59.77K,-0.38%
27-10-1994,390.2,391.5,392,389.8,35.52K,-0.20%
26-10-1994,391,390.5,391.3,389.2,24.54K,-0.05%
25-10-1994,391.2,391.6,392.1,390.7,31.45K,-0.05%
24-10-1994,391.4,391.5,392,390.6,15.50K,-0.36%
21-10-1994,392.8,393.5,393.8,392.2,14.61K,-0.13%
20-10-1994,393.3,392.7,394.5,392.5,17.26K,0.25%
19-10-1994,392.3,391.8,393.7,391.8,29.08K,0.26%
18-10-1994,391.3,392.1,392.9,391.1,22.40K,-0.20%
17-10-1994,392.1,390.7,392.3,390.7,18.45K,0.54%
14-10-1994,390,389.5,390.5,389.2,16.73K,0.36%
13-10-1994,388.6,391.3,391.6,388.1,19.11K,-0.51%
12-10-1994,390.6,390,391.1,390,44.11K,0.10%
11-10-1994,390.2,392.2,392.5,388,15.29K,-0.81%
10-10-1994,393.4,394.5,395.2,393.1,64.32K,-0.10%
07-10-1994,393.8,396.1,397.2,392,15.85K,-0.33%
06-10-1994,395.1,394.7,395.2,393.6,42.92K,-0.03%
05-10-1994,395.2,395.4,397.8,394.5,17.68K,-0.13%
04-10-1994,395.7,395.5,396.2,394.3,31.85K,-0.63%
03-10-1994,398.2,396.2,399.8,395.7,31.27K,0.15%
30-09-1994,397.6,398.4,398.7,396.3,33.06K,-0.28%
29-09-1994,398.7,398,399.5,397.8,25.82K,0.20%
28-09-1994,397.9,400.5,401.9,397.6,21.59K,-0.87%
27-09-1994,401.4,398.3,401.8,397.9,41.61K,0.90%
26-09-1994,397.8,398.5,400,397.7,43.83K,-0.45%
23-09-1994,399.6,399.6,400.7,399.1,22.49K,0.15%
22-09-1994,399,397.1,399.2,396.9,32.26K,0.30%
21-09-1994,397.8,399,399.7,397.4,22.50K,0.15%
20-09-1994,397.2,396.2,399.1,395.5,32.62K,0.91%
19-09-1994,393.6,393.2,394.3,392.9,63.84K,0.00%
16-09-1994,393.6,392,395,392,11.55K,0.43%
15-09-1994,391.9,391,392.4,390.6,30.18K,-0.25%
14-09-1994,392.9,394.6,395,392.3,15.73K,-0.41%
13-09-1994,394.5,394.5,395.1,393,15.89K,-0.10%
12-09-1994,394.9,395.5,395.9,394.6,22.87K,-0.23%
09-09-1994,395.8,394.2,396.9,392.5,18.85K,0.30%
08-09-1994,394.6,394.4,396.3,393.9,49.31K,0.05%
07-09-1994,394.4,393.3,394.8,393,38.87K,0.56%
06-09-1994,392.2,391.8,392.5,391.5,27.38K,0.20%
02-09-1994,391.4,391.6,392.2,390.4,9.77K,0.03%
01-09-1994,391.3,390.5,391.4,389.9,15.26K,0.13%
31-08-1994,390.8,390.2,391.4,389.2,18.52K,0.00%
30-08-1994,390.8,391,391.7,390.3,28.12K,-0.26%
29-08-1994,391.8,386,394,385.7,18.73K,0.98%
26-08-1994,388,388.3,388.6,387.2,56.48K,-0.03%
25-08-1994,388.1,388.5,388.7,387.5,14.70K,-0.13%
24-08-1994,388.6,387.1,390,386.7,13.19K,0.54%
23-08-1994,386.5,386.1,386.9,385.8,42.11K,-0.05%
22-08-1994,386.7,386.6,388.1,385.9,9.85K,-0.05%
19-08-1994,386.9,385.5,387.5,385.3,18.09K,0.26%
18-08-1994,385.9,382.8,387,382.8,18.79K,0.94%
17-08-1994,382.3,382.7,383.7,381.8,40.56K,-0.16%
16-08-1994,382.9,381.7,383.1,380.3,14.09K,0.13%
15-08-1994,382.4,381,382.5,381,29.54K,0.24%
12-08-1994,381.5,383,384.3,380.2,15.99K,-0.65%
11-08-1994,384,381.8,384.7,381.4,29.51K,0.37%
10-08-1994,382.6,383.6,384.2,382.6,30.47K,-0.10%
09-08-1994,383,382.1,384.2,382.1,13.17K,0.18%
08-08-1994,382.3,382.6,383.1,381.9,13.79K,-0.16%
05-08-1994,382.9,383.1,384.7,382.6,9.95K,-0.05%
04-08-1994,383.1,381.8,383.8,380.5,21.81K,0.00%
03-08-1994,383.1,383.9,384.4,382.3,28.47K,-0.34%
02-08-1994,384.4,388.6,389.1,383.6,31.56K,-1.28%
01-08-1994,389.4,390.1,390.4,388.6,55.17K,0.05%
29-07-1994,389.2,390.7,391,388,13.65K,-0.51%
28-07-1994,391.2,393.6,394.1,391,43.21K,0.90%
27-07-1994,387.7,387.3,389.5,386.8,21.72K,0.16%
26-07-1994,387.1,386.4,387.1,385,37.45K,0.57%
25-07-1994,384.9,384.9,385.5,384.7,37.53K,-0.03%
22-07-1994,385,384.6,385.1,383.8,14.23K,0.18%
21-07-1994,384.3,385.5,387.1,384.2,16.98K,-0.34%
20-07-1994,385.6,387.1,388.3,385.2,22.93K,-0.39%
19-07-1994,387.1,384.4,387.4,383.8,27.60K,0.23%
18-07-1994,386.2,386.7,387.3,386.2,24.17K,-0.05%
15-07-1994,386.4,385.4,386.5,384.7,11.36K,0.52%
14-07-1994,384.4,384.4,385.7,382,16.06K,0.10%
13-07-1994,384,384.4,386.3,383.8,41.24K,-0.60%
12-07-1994,386.3,386.5,387.9,385.3,29.94K,-0.46%
11-07-1994,388.1,385.9,390.3,385.4,23.51K,0.78%
08-07-1994,385.1,384,386.3,383.2,35.95K,-0.16%
07-07-1994,385.7,384.4,385.8,383.3,29.71K,0.29%
06-07-1994,384.6,387,387.8,383.2,18.36K,-0.59%
05-07-1994,386.9,389.3,389.9,386.3,40.87K,-0.31%
01-07-1994,388.1,386.8,388.6,385.2,27.15K,0.21%
30-06-1994,387.3,386.9,390.5,386.8,23.72K,0.26%
29-06-1994,386.3,386.6,387.8,385.2,32.35K,-0.41%
28-06-1994,387.9,387.6,388.8,387.1,21.76K,0.39%
27-06-1994,386.4,391.7,391.9,383.9,27.72K,-1.65%
24-06-1994,392.9,392.5,394.4,390.5,57.46K,0.36%
23-06-1994,391.5,391.6,393.4,390.5,36.97K,0.03%
22-06-1994,391.4,395.3,395.5,390,24.47K,-1.24%
21-06-1994,396.3,391.5,397.9,390.3,46.08K,1.38%
20-06-1994,390.9,395.2,395.4,390.5,57.20K,-0.71%
17-06-1994,393.7,388.6,395,388.5,38.58K,1.60%
16-06-1994,387.5,389.1,389.7,386.9,51.11K,-0.39%
15-06-1994,389,386,389.9,385.8,22.73K,0.67%
14-06-1994,386.4,386.7,387,385.8,36.84K,0.21%
13-06-1994,385.6,384,385.8,383.6,12.54K,-0.05%
10-06-1994,385.8,385.5,386.3,384.6,17.82K,0.13%
09-06-1994,385.3,384.3,386.4,383.7,13.99K,0.31%
08-06-1994,384.1,384.8,385.3,383.4,18.47K,0.16%
07-06-1994,383.5,383.9,385.2,382.1,13.45K,0.16%
06-06-1994,382.9,382.8,383.5,380.4,21.49K,-0.08%
03-06-1994,383.2,385.4,386.8,382.3,31.41K,-0.93%
02-06-1994,386.8,386.3,387,384.9,28.70K,0.13%
01-06-1994,386.3,390.4,391,383.5,17.47K,-0.95%
31-05-1994,390,388.2,391.4,388,41.58K,1.38%
27-05-1994,384.7,383.3,386.3,383.2,5.35K,0.21%
26-05-1994,383.9,385.5,386.3,382.5,23.07K,-0.75%
25-05-1994,386.8,386.9,388.7,385.5,48.84K,-0.13%
24-05-1994,387.3,388.8,389.1,385.5,41.12K,-0.67%
23-05-1994,389.9,387.9,390.2,386.3,49.02K,0.93%
20-05-1994,386.3,382.4,386.5,382.3,45.41K,1.18%
19-05-1994,381.8,383.5,385.3,381.5,40.69K,-0.18%
18-05-1994,382.5,380.4,384.9,379.5,27.81K,0.13%
17-05-1994,382,383.5,384.2,381.1,45.64K,-0.44%
16-05-1994,383.7,381.3,384.5,379.6,20.12K,0.58%
13-05-1994,381.5,382.1,382.9,380.5,24.74K,0.18%
12-05-1994,380.8,381,382,378.4,23.43K,-0.50%
11-05-1994,382.7,379.5,384.8,379.3,31.77K,0.76%
10-05-1994,379.8,382,382.5,379.3,38.70K,-0.65%
09-05-1994,382.3,382.3,383.5,381.5,23.57K,-0.57%
06-05-1994,384.5,373.4,387,373.1,24.64K,2.62%
05-05-1994,374.7,375,376,374.5,83.86K,-0.79%
04-05-1994,377.7,375.6,378.1,374.8,18.17K,0.24%
03-05-1994,376.8,377,377.5,375.8,27.86K,-0.16%
02-05-1994,377.4,377.7,378.6,375.7,20.87K,-0.11%
29-04-1994,377.8,377.6,378.3,376.4,15.69K,0.27%
28-04-1994,376.8,374.3,377.2,374,23.53K,0.40%
26-04-1994,375.3,374,376.3,373.9,23.67K,0.11%
25-04-1994,374.9,372.1,375.3,372,15.98K,0.75%
22-04-1994,372.1,373.5,373.8,369.5,16.02K,-0.69%
21-04-1994,374.7,374.4,375.3,373.6,31.53K,0.21%
20-04-1994,373.9,373.1,374.3,372.2,16.99K,0.19%
19-04-1994,373.2,376.4,376.8,372,24.91K,-1.40%
18-04-1994,378.5,378.8,380.7,378.4,66.18K,-0.24%
15-04-1994,379.4,378.6,379.5,378.3,26.98K,-0.24%
14-04-1994,380.3,382.4,382.5,377.8,20.36K,0.08%
13-04-1994,380,380.8,381.3,378.5,28.89K,-0.11%
12-04-1994,380.4,379.3,380.8,377.5,26.39K,0.13%
11-04-1994,379.9,386.1,386.3,379.5,39.87K,-1.66%
08-04-1994,386.3,387.1,388.8,385.7,53.55K,0.05%
07-04-1994,386.1,387.1,387.9,385.4,21.86K,-0.26%
06-04-1994,387.1,386.9,389.2,385.3,17.44K,0.10%
05-04-1994,386.7,388.7,389,385.8,24.38K,-0.51%
04-04-1994,388.7,394.7,395.8,388,35.27K,-1.42%
31-03-1994,394.3,390.5,396.5,390.5,32.88K,1.47%
30-03-1994,388.6,389.6,390.2,387.8,37.38K,0.67%
29-03-1994,386,386.8,388.1,385,23.01K,-0.54%
28-03-1994,388.1,389.4,390.8,388,30.29K,-0.79%
25-03-1994,391.2,391.9,392.2,388,25.35K,-0.18%
24-03-1994,391.9,391.7,392.7,390.2,28.43K,1.16%
23-03-1994,387.4,388.6,389.7,387.3,36.09K,-0.59%
22-03-1994,389.7,387.8,390.5,386.4,29.61K,0.88%
21-03-1994,386.3,387.8,388.6,386.1,39.69K,-0.34%
18-03-1994,387.6,387,387.8,386.2,13.75K,1.20%
17-03-1994,383,383.6,384.4,382.7,19.01K,-0.67%
16-03-1994,385.6,386.1,386.9,385.3,22.35K,-0.52%
15-03-1994,387.6,387.5,388.5,386.6,18.60K,0.10%
14-03-1994,387.2,386.5,388.3,386.5,20.02K,0.28%
11-03-1994,386.1,388.9,389.9,385.7,19.08K,-0.54%
10-03-1994,388.2,380.5,388.5,380.2,33.93K,2.13%
09-03-1994,380.1,376.6,381,375.8,67.94K,0.64%
08-03-1994,377.7,376.2,377.9,376,37.43K,0.21%
07-03-1994,376.9,378.2,378.7,376.7,17.15K,-0.45%
04-03-1994,378.6,376.4,378.8,376,10.98K,0.08%
03-03-1994,378.3,379,379.3,376.9,16.91K,-0.16%
02-03-1994,378.9,377.6,380,374,8.25K,-0.13%
01-03-1994,379.4,381.8,383.6,378.8,53.76K,-0.81%
28-02-1994,382.5,381.9,383.5,381.5,30.76K,0.71%
25-02-1994,379.8,379.1,381.1,378.6,18.71K,0.58%
24-02-1994,377.6,377.9,379.8,376.2,19.52K,-0.34%
23-02-1994,378.9,378.6,380.5,375.7,26.62K,-0.08%
22-02-1994,379.2,380.5,381.1,377.8,45.31K,-0.63%
18-02-1994,381.6,383.2,383.4,377.7,21.94K,-0.70%
17-02-1994,384.3,386.6,388.9,384,45.88K,-0.26%
16-02-1994,385.3,385.1,385.9,384.6,36.26K,-0.05%
15-02-1994,385.5,385.8,388.2,383,9.48K,-0.03%
14-02-1994,385.6,383.6,385.8,383.5,38.31K,1.02%
11-02-1994,381.7,381.8,383.7,381.3,18.93K,-0.52%
10-02-1994,383.7,383.7,386.4,381.3,11.34K,-0.52%
09-02-1994,385.7,381.5,386,380.6,24.35K,0.42%
08-02-1994,384.1,381.8,384.1,381.2,23.08K,0.89%
07-02-1994,380.7,385.6,386.5,380.5,20.09K,-1.96%
04-02-1994,388.3,390.1,392.3,386.5,34.67K,-0.21%
03-02-1994,389.1,386.2,389.4,385.9,47.12K,0.67%
02-02-1994,386.5,387,388.4,385.8,31.97K,0.10%
01-02-1994,386.1,383.6,387.5,383,26.57K,0.65%
31-01-1994,383.6,380.3,384,377.5,34.50K,1.21%
28-01-1994,379,379.9,380.9,377.3,33.49K,0.42%
27-01-1994,377.4,384.3,384.9,377.2,27.35K,-1.87%
26-01-1994,384.6,381.1,385,380.1,28.78K,0.79%
25-01-1994,381.6,382.4,383.2,381.4,28.00K,0.05%
24-01-1994,381.4,380.5,381.7,378,20.50K,-0.08%
21-01-1994,381.7,385.2,386.8,381.5,42.72K,-1.60%
20-01-1994,387.9,392.6,394.2,387,37.28K,-1.22%
19-01-1994,392.7,393.8,394,391.3,40.96K,-0.23%
18-01-1994,393.6,393.5,395.5,391.3,30.38K,0.36%
17-01-1994,392.2,393.8,393.9,392.1,36.39K,0.54%
14-01-1994,390.1,391.7,392.2,389.6,16.82K,-0.13%
13-01-1994,390.6,385.8,391.2,385.6,31.08K,0.96%
12-01-1994,386.9,387.4,388,385,38.04K,-0.46%
11-01-1994,388.7,385.4,388.8,383.7,23.20K,0.78%
10-01-1994,385.7,383,386.1,380,28.57K,-0.39%
07-01-1994,387.2,392.2,393,387,55.10K,-0.74%
06-01-1994,390.1,391.9,392,385,34.63K,-0.51%
05-01-1994,392.1,395.5,397.8,390,49.73K,-0.76%
04-01-1994,395.1,396.7,396.8,394.5,46.78K,0.10%
03-01-1994,394.7,391.9,395.5,391.4,22.43K,0.71%
30-12-1993,391.9,393.3,393.9,391,29.64K,0.03%
29-12-1993,391.8,386.6,392.5,384.8,18.71K,0.85%
28-12-1993,388.5,389.7,390,387.9,39.20K,-0.15%
27-12-1993,389.1,388.1,389.4,387.7,8.38K,0.54%
23-12-1993,387,387,387.3,385.6,6.91K,-0.05%
22-12-1993,387.2,387.3,388.2,386,8.37K,-0.54%
21-12-1993,389.3,390.4,390.5,388.5,15.93K,-0.38%
20-12-1993,390.8,391.1,392.2,390.6,13.58K,0.49%
17-12-1993,388.9,387.3,389.1,386.8,16.35K,0.36%
16-12-1993,387.5,388.3,389.6,386.5,19.51K,-0.39%
15-12-1993,389,387.6,389.8,385.2,21.61K,0.10%
14-12-1993,388.6,389,389.4,386.8,30.11K,0.00%
13-12-1993,388.6,389.3,390.4,387.7,23.07K,0.96%
10-12-1993,384.9,385,386,383.5,29.48K,0.13%
09-12-1993,384.4,384.4,385.7,383.5,20.03K,-0.34%
08-12-1993,385.7,380.7,386.7,380.3,20.05K,1.69%
07-12-1993,379.3,378.1,379.7,377.2,50.00K,0.40%
06-12-1993,377.8,378.8,379.1,377.5,26.33K,-0.21%
03-12-1993,378.6,377.7,379.6,373.9,16.19K,0.80%
02-12-1993,375.6,376.2,377.4,374.9,39.71K,-0.27%
01-12-1993,376.6,371.4,378.5,370.4,18.79K,1.26%
30-11-1993,371.9,372.3,373.2,371.3,50.54K,0.11%
29-11-1993,371.5,376.7,377.5,370.5,24.84K,-1.51%
24-11-1993,377.2,376.2,377.7,375.2,38.37K,-0.03%
23-11-1993,377.3,377.8,378.4,375.5,30.45K,-0.32%
22-11-1993,378.5,379.4,379.9,377.1,35.28K,0.05%
19-11-1993,378.3,376.2,380.4,375.8,26.73K,0.42%
18-11-1993,376.7,376.9,379.2,376.2,37.59K,-0.13%
17-11-1993,377.2,373.9,377.5,369.6,31.74K,0.69%
16-11-1993,374.6,376.2,376.8,374.4,47.81K,-0.29%
15-11-1993,375.7,373.4,376,373.3,19.55K,0.56%
12-11-1993,373.6,377.6,378.5,373.3,23.91K,-0.74%
11-11-1993,376.4,377.7,378.6,376.2,27.20K,-0.26%
10-11-1993,377.4,376,379,373,15.42K,0.21%
09-11-1993,376.6,377,378.4,374.7,38.49K,0.29%
08-11-1993,375.5,379,379,374.9,26.03K,-0.61%
05-11-1993,377.8,375.6,381.2,375.3,27.07K,1.45%
04-11-1993,372.4,371.2,374.5,371,61.80K,1.20%
03-11-1993,368,363.8,369,363.2,44.63K,1.21%
02-11-1993,363.6,363.1,364.7,361,32.96K,0.41%
01-11-1993,362.1,368.6,368.9,360.7,26.29K,-2.03%
29-10-1993,369.6,370.6,371.8,368.8,55.33K,-0.16%
28-10-1993,370.2,369.5,372.7,368.5,14.81K,-0.13%
27-10-1993,370.7,370.6,373.7,369.5,32.75K,0.11%
26-10-1993,370.3,369.6,370.5,367.6,25.66K,-0.05%
25-10-1993,370.5,372.4,373.2,368.7,24.05K,-0.22%
22-10-1993,371.3,370.2,371.5,367.5,19.72K,-0.40%
21-10-1993,372.8,373.6,376.7,371,25.74K,-0.27%
20-10-1993,373.8,373.3,374.9,372.5,36.55K,0.95%
19-10-1993,370.3,370.1,370.8,365.8,33.31K,0.19%
18-10-1993,369.6,365.9,371.4,365.4,31.27K,0.93%
15-10-1993,366.2,366.4,367.2,365,31.61K,-0.11%
14-10-1993,366.6,368.1,370.5,365.5,12.51K,-0.27%
13-10-1993,367.6,367.6,368.9,367,36.29K,-0.43%
12-10-1993,369.2,361.1,370,360.6,20.64K,2.07%
11-10-1993,361.7,362.3,363.7,361.2,49.13K,0.06%
08-10-1993,361.5,360.1,362.2,358.5,18.28K,0.84%
07-10-1993,358.5,360.4,360.8,358.3,24.18K,0.08%
06-10-1993,358.2,355.9,360,355.2,18.79K,0.96%
05-10-1993,354.8,355.8,356.1,354.2,30.68K,0.06%
04-10-1993,354.6,357.2,357.3,350,11.86K,-0.64%
01-10-1993,356.9,356.4,357.5,355.7,26.39K,-0.06%
30-09-1993,357.1,354.8,358.8,354.7,13.69K,0.68%
29-09-1993,354.7,356.2,356.8,352.2,26.45K,-0.73%
28-09-1993,357.3,356.1,358.4,355.9,32.24K,0.45%
27-09-1993,355.7,359.1,359.4,354.3,19.54K,-1.03%
24-09-1993,359.4,360.1,361,358.1,25.89K,-0.17%
23-09-1993,360,356.7,361.5,356.1,18.58K,1.12%
22-09-1993,356,355.5,356.8,353,27.23K,-2.47%
21-09-1993,365,355.5,365.5,354.6,29.04K,2.67%
20-09-1993,355.5,356,356.8,354.7,57.38K,0.77%
17-09-1993,352.8,355.9,357.5,352.3,14.76K,-0.54%
16-09-1993,354.7,353.1,356,352,24.31K,1.46%
15-09-1993,349.6,347.8,351,346.8,26.97K,0.78%
14-09-1993,346.9,344.9,348,344.4,31.90K,0.61%
13-09-1993,344.8,348.2,349.6,343,30.09K,-2.16%
10-09-1993,352.4,357.7,358.2,350,40.49K,-1.15%
09-09-1993,356.5,354.4,357.5,354.3,48.28K,0.82%
08-09-1993,353.6,353.7,354.7,352.3,25.52K,0.31%
07-09-1993,352.5,365.7,366,352,30.67K,-3.98%
03-09-1993,367.1,366.6,367.9,365,58.56K,0.22%
02-09-1993,366.3,371.6,372.4,364,21.33K,-1.69%
01-09-1993,372.6,374.4,375,371,49.49K,-0.83%
31-08-1993,375.7,373.4,375.9,373.3,26.93K,0.64%
30-08-1993,373.3,372.4,375.5,372.2,24.43K,0.32%
27-08-1993,372.1,372,373,370.8,15.82K,0.35%
26-08-1993,370.8,373.8,374.6,367,15.71K,-1.25%
25-08-1993,375.5,374.8,376.1,373.2,40.56K,0.16%
24-08-1993,374.9,375.4,377,374.8,22.86K,-0.16%
23-08-1993,375.5,375.3,377.3,374.6,15.17K,-0.24%
20-08-1993,376.4,374.1,377.1,373.7,14.89K,0.53%
19-08-1993,374.4,376.3,377.1,373.9,19.53K,-0.82%
18-08-1993,377.5,374.9,377.7,374.7,17.53K,0.69%
17-08-1993,374.9,374.7,375.7,373.7,16.08K,-0.40%
16-08-1993,376.4,375.8,377.5,375.1,14.40K,1.02%
13-08-1993,372.6,372.7,373,369.3,19.75K,0.51%
12-08-1993,370.7,379.1,380.8,368.5,26.86K,-2.11%
11-08-1993,378.7,384.8,385.8,377,80.67K,-1.48%
10-08-1993,384.4,384.5,385,381.1,46.76K,-0.62%
09-08-1993,386.8,384.8,387.2,383.5,29.09K,1.82%
06-08-1993,379.9,383.2,383.5,374.5,26.14K,-0.21%
05-08-1993,380.7,395.9,400.8,375,60.02K,-5.60%
04-08-1993,403.3,404.5,408,403.1,117.01K,-1.05%
03-08-1993,407.6,408.8,409.3,406.7,38.23K,-0.63%
02-08-1993,410.2,410.4,414,406.6,25.45K,-0.27%
30-07-1993,411.3,407.5,411.7,405.5,50.88K,2.26%
29-07-1993,402.2,398.7,403,396.5,55.58K,2.24%
28-07-1993,393.4,391.7,395.6,391.6,23.74K,0.56%
27-07-1993,391.2,393.4,393.8,390.8,55.51K,-0.48%
26-07-1993,393.1,390.6,394.4,390.2,39.23K,0.79%
23-07-1993,390,392.2,393,388.5,37.62K,-0.33%
22-07-1993,391.3,388.1,391.5,387.6,37.42K,0.46%
21-07-1993,389.5,393.1,393.5,389.2,41.20K,-0.69%
20-07-1993,392.2,392.3,393.8,391.1,43.07K,-0.05%
19-07-1993,392.4,393.5,396.5,392.1,31.85K,-0.13%
16-07-1993,392.9,394.7,394.9,391.5,34.54K,-0.25%
15-07-1993,393.9,391.6,395.8,391.5,30.29K,0.64%
14-07-1993,391.4,396.6,396.8,388.5,41.13K,-0.79%
13-07-1993,394.5,391.9,395.5,390.2,52.65K,-0.10%
12-07-1993,394.9,394.2,395.5,393.5,32.98K,0.66%
09-07-1993,392.3,392,394.7,390.8,18.84K,-0.83%
08-07-1993,395.6,395.7,397,394,41.11K,-0.55%
07-07-1993,397.8,397.9,398.1,393.8,31.46K,1.20%
06-07-1993,393.1,393.3,394.5,391.1,57.38K,1.66%
02-07-1993,386.7,390,393.6,386,36.38K,-0.39%
